symbol,non_compliant_income_pct,shariah_status,accounts_as_of,source
DFSM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DGKC,3.36,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DIIL,0.0,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DINT,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DLL,12.91,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DMC,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DNCC,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DOL,0.42,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DSIL,80.78,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DYNO,0.6,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ECOP,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
EFERT,0.4,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ELCM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ELSM,0.27,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
EMCO,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ENGROH,1.3,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
EPCL,0.13,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
EPQL,3.18,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
EXIDE,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FABL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FANM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FASM,0.22,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FATIMA,0.93,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FCCL,0.57,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FCEPL,0.11,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FCL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FDPL,85.95,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FECM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FECTC,0.03,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FEM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FEROZ,0.66,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FFC,4.97,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FFL,1.44,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FFLM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FHAM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FIBLM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FIMM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FLYNG,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FML,1.32,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FPJM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FPRM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FRCL,0.8,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FRSM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FTMM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FTSM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
FZCM,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GADT,0.13,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GAL,0.1,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GATI,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GATM,0.22,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GCIL,2.4,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GCWL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GFIL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GGGL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GGL,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GHGL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GHNI,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GLAXO,0.76,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GLPL,0.64,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GOC,0.23,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GTYR,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GVGL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
GWLC,1.25,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
HABSM,2.34,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
HAEL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
HALEON,1.57,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
HCAR,0.38,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
